"","번호","발생시각","규모","깊이(km)","위도","경도","행정구역","시군구"
"466",735,2007-05-03 12:24:07,2.2,NA,"36.13 N","127.85 E","충북"," 영동군 남동쪽 7km 지역"
"467",734,2007-04-25 08:36:40,2,NA,"36.94 N","126.53 E","충남"," 당진군 서북서쪽 11km 지역"
"468",733,2007-04-01 22:16:04,2.3,NA,"38.58 N","125.63 E","북한"," 황해북도 사리원 북서쪽 14km 지역"
"469",732,2007-03-28 02:47:15,2.8,NA,"38.64 N","125.60 E","북한"," 황해북도 송림 남남서쪽 11km 해역"
"470",731,2007-03-15 05:30:12,2.9,NA,"36.18 N","127.97 E","충북"," 영동군 동쪽 17km 지역"
"471",730,2007-03-10 18:18:41,2,NA,"37.21 N","128.85 E","강원"," 정선군 남동쪽 25km 지역"
"472",729,2007-02-06 00:35:03,2.2,NA,"34.97 N","129.68 E","부산"," 기장군 남동쪽 52km 해역"
"473",728,2007-01-24 16:31:56,2.4,NA,"38.62 N","125.59 E","북한"," 황해북도 송림 남남서쪽 13km 지역"
"474",727,2007-01-20 20:56:53,4.8,NA,"37.68 N","128.59 E","강원"," 평창군 북북동쪽 39km 지역"
"475",726,2007-01-19 09:06:23,2,NA,"37.69 N","128.57 E","강원"," 평창군 북북동쪽 39km 지역"
"476",725,2007-01-06 05:47:16,2.4,NA,"39.11 N","127.98 E","북한"," 강원 원산 동쪽 48km 해역"
"477",724,2006-12-28 09:44:51,2.2,NA,"36.11 N","128.11 E","경북"," 김천시 남남동쪽 3km 지역"
"478",723,2006-12-20 01:18:19,2.1,NA,"37.14 N","129.90 E","경북"," 울진군 동북동쪽 47km 해역"
"479",722,2006-12-10 01:39:52,2.5,NA,"33.06 N","126.22 E","제주"," 서귀포시 남서쪽 35km 해역"
"480",721,2006-12-04 00:51:41,2.7,NA,"36.46 N","127.92 E","경북"," 상주시 서북서쪽 22km 지역"
"481",720,2006-11-26 03:05:34,2.4,NA,"34.14 N","127.48 E","전남"," 여수시 거문도 북동쪽 20km 해역"
"482",719,2006-11-12 08:19:34,2.9,NA,"38.59 N","125.12 E","북한"," 남포 서남서쪽 34km 지역"
"483",718,2006-11-11 01:16:01,2.4,NA,"35.97 N","127.45 E","전북"," 진안군 북쪽 20km 지역"
"484",717,2006-10-25 18:14:25,2.6,NA,"33.36 N","125.75 E","제주"," 제주시 고산 서쪽 39km 해역"
"485",716,2006-10-22 14:09:16,2.2,NA,"37.13 N","125.98 E","인천"," 옹진군 덕적도 서남서쪽 18km 해역"
"486",715,2006-10-16 14:12:58,2.4,NA,"37.35 N","124.88 E","인천"," 백령도 남남동쪽 69km 해역"
"487",714,2006-10-04 05:29:22,2.2,NA,"36.67 N","127.67 E","충북"," 청원군 동북동쪽 16km 지역"
"488",713,2006-09-29 23:07:52,3.4,NA,"34.10 N","124.90 E","전남"," 신안군 흑산면 남서쪽 81km 해역"
"489",712,2006-09-20 14:15:33,2.1,NA,"34.62 N","128.81 E","경남"," 거제시 남남동쪽 33km 해역"
"490",711,2006-09-20 00:03:11,2.6,NA,"35.92 N","129.56 E","경북"," 포항시 남구 동남동쪽 20km 해역"
"491",710,2006-08-26 07:44:16,2.2,NA,"37.21 N","128.81 E","강원"," 정선군 남동쪽 23km 지역"
"492",709,2006-08-09 08:16:19,2.3,NA,"35.70 N","124.82 E","전남"," 영광군 안마도 서북서쪽 117km 해역"
"493",708,2006-08-07 14:18:33,2.8,NA,"35.60 N","124.63 E","전남"," 신안군 흑산면 북서쪽 130km 해역"
"494",707,2006-08-01 12:57:36,2,NA,"35.74 N","127.82 E","경남"," 거창군 북서쪽 10km 지역"
"495",706,2006-07-26 02:50:38,2,NA,"35.80 N","127.88 E","경남"," 거창군 북북서쪽 13km 지역"
"496",705,2006-07-25 23:29:18,2.5,NA,"35.79 N","127.89 E","경남"," 거창군 북쪽 12km 지역"
"497",704,2006-07-24 02:44:17,2,NA,"37.17 N","126.32 E","인천"," 옹진군 남서쪽 42km 해역"
"498",703,2006-07-18 14:49:53,2,NA,"36.13 N","126.65 E","충남"," 서천군 북서쪽 7km 지역"
"499",702,2006-06-01 11:58:01,2.4,NA,"34.60 N","128.16 E","경남"," 남해군 남동쪽 36km 해역"
"500",701,2006-05-08 06:59:15,2.4,NA,"36.22 N","129.54 E","경북"," 포항시 북구 북동쪽 25km 해역"
"501",700,2006-04-30 09:50:04,2.5,NA,"37.05 N","129.84 E","경북"," 울진군 동쪽 39km 해역"
"502",699,2006-04-29 11:01:12,3.5,NA,"37.09 N","129.93 E","경북"," 울진군 동북동쪽 48km 해역"
"503",698,2006-04-29 01:01:00,2.5,NA,"37.07 N","129.81 E","경북"," 울진군 동북동쪽 37km 해역"
"504",697,2006-04-28 23:54:56,2.5,NA,"37.12 N","129.93 E","경북"," 울진군 동북동쪽 49km 해역"
"505",696,2006-04-28 23:47:55,3,NA,"37.09 N","129.93 E","경북"," 울진군 동북동쪽 48km 해역"
"506",695,2006-04-19 16:18:13,2.1,NA,"37.01 N","129.82 E","경북"," 울진군 동쪽 37km 해역"
"507",694,2006-04-19 16:01:32,2.4,NA,"37.10 N","129.92 E","경북"," 울진군 동북동쪽 47km 해역"
"508",693,2006-04-19 10:57:56,2.5,NA,"37.10 N","129.91 E","경북"," 울진군 동북동쪽 47km 해역"
"509",692,2006-04-19 09:49:34,3,NA,"37.05 N","129.96 E","경북"," 울진군 동쪽 50km 해역"
"510",691,2006-04-19 09:35:10,2.4,NA,"37.07 N","129.93 E","경북"," 울진군 동쪽 48km 해역"
"511",690,2006-04-13 01:09:47,2.8,NA,"34.74 N","125.01 E","전남"," 신안군 흑산면 서북서쪽 43km 해역"
"512",689,2006-04-03 18:14:04,3.3,NA,"38.68 N","125.96 E","북한"," 황해도 사리원 동북동쪽 24km지역"
"513",688,2006-04-02 00:04:37,2,NA,"35.38 N","127.22 E","전북"," 남원시 서남서쪽 16km 지역"
"514",687,2006-03-26 07:54:50,2.4,NA,"35.67 N","126.26 E","전북"," 부안군 위도 북북서쪽 48km 해역"
"515",686,2006-03-23 07:42:55,2.5,NA,"38.33 N","127.30 E","북한"," 강원 철원군 북쪽 20km 지역"
"516",685,2006-03-19 14:03:46,2,NA,"36.33 N","127.34 E","대전"," 서구 서남서쪽 3km 지역"
"517",684,2006-03-19 13:59:47,2.9,NA,"36.34 N","127.36 E","대전"," 서구 서남서쪽 1km 지역"
"518",683,2006-03-15 04:36:54,2.4,NA,"38.19 N","125.94 E","북한"," 황해남도 해주 북동쪽 26km 지역"
"519",682,2006-03-11 04:52:22,2.1,NA,"37.13 N","126.00 E","충남"," 태안군 북북서쪽 51km 해역"
"520",681,2006-03-10 05:57:17,2.5,NA,"33.30 N","127.15 E","제주"," 서귀포시 동쪽 59km 해역"
"521",680,2006-02-28 18:52:38,2.3,NA,"36.22 N","127.66 E","충북"," 영동군 서북서쪽 13km 지역"
"522",679,2006-02-28 00:11:22,2.3,NA,"35.80 N","127.89 E","경남"," 거창군 북쪽 13km 지역"
