"","시간","규모","진앙(km)","위도","경도","행정구역","시군구"
"1",2015-10-11 00:55:07,2.1,19,33.3,127.02,"제주"," 서귀포시 성산 남동쪽 16km 해역"
"2",2015-10-26 23:29:05,2.1,24,34.09,126.85,"전남"," 완도군 남남동쪽 26km 해역"
"3",2015-10-30 15:17:29,2.9,17,35.74,129.37,"경북"," 경주시 남동쪽 18km 지역"
"4",2015-11-13 20:04:33,2.6,18,35.8,129.42,"경북"," 경주시 동남동쪽 19km 지역"
"5",2015-11-24 11:27:52,3.2,13,35.67,129.82,"울산"," 동구 동북동쪽 41km 해역"
"6",2015-11-24 14:10:02,2.4,14,35.69,129.75,"울산"," 동구 북동쪽 36km 해역"
"7",2015-12-11 01:25:17,2.1,14,36.9,126.58,"충남"," 당진시 서북서쪽 5km 지역"
"8",2015-12-22 04:31:24,3.9,11,36.02,126.95,"전북"," 익산시 북쪽 8km 지역"
"9",2016-01-06 20:39:04,3,7,36.01,128.07,"경북"," 김천시 남쪽 14km 지역"
"10",2016-01-23 07:14:01,2.4,7,38.42,126.25,"북한"," 황해북도 평산군 북서쪽 16km 지역"
"11",2016-01-25 18:40:20,2.3,20,36.22,128.69,"경북"," 의성군 남쪽 14km 지역"
"12",2016-01-31 03:03:02,2,28,36.95,129.92,"경북"," 울진군 동쪽 46 km 해역"
"13",2016-02-11 05:57:44,3.1,17,36.21,127.48,"충남"," 금산군 북쪽 12km 지역"
"14",2016-02-24 23:22:12,2.9,20,33.52,125.92,"제주"," 제주시 고산 북서쪽 34km 해역"
"15",2016-02-26 18:46:12,2.2,14,33.23,127.19,"제주"," 서귀포시 성산 동남동쪽 34km 해역"
"16",2016-02-28 16:52:38,2.5,6,38.73,125.85,"북한"," 황해북도 송림시 동쪽 19km 지역"
"17",2016-03-02 14:04:43,2.7,3,36.35,127.2,"충남"," 공주시 남동쪽 13km 지역"
"18",2016-03-05 11:11:53,3.3,0,35.61,129.82,"울산"," 동구 동북동쪽 38km 해역"
"19",2016-03-14 05:17:05,3.1,8,38.71,125.87,"북한"," 황해북도 송림시 동쪽 21km 지역"
"20",2016-03-15 03:00:19,2.7,16,36.31,128.21,"경북"," 상주시 남남동쪽 12km 지역"
"21",2016-03-15 03:38:34,2.5,13,37.6,129.82,"강원"," 삼척시 동북동쪽 60km 해역"
"22",2016-03-27 14:52:53,2.3,12,35.33,130.04,"울산"," 동구 동남동쪽 59km 해역"
"23",2016-03-27 18:28:35,3.1,7,39.38,126.06,"북한"," 평안남도 성천시 북서쪽 20km 지역"
"24",2016-03-28 14:34:21,2.9,13,35.22,127.96,"경남"," 진주시 서북서쪽 12km 지역"
"25",2016-04-13 05:28:39,2.1,17,35.92,127.93,"경북"," 김천시 남남서쪽 28km 지역"
"26",2016-04-21 15:53:45,2.7,18,33.52,125.92,"제주"," 제주시 고산 북서쪽 34km 해역"
"27",2016-04-21 15:55:04,2.7,10,33.53,125.89,"제주"," 제주시 고산 북서쪽 36km 해역"
"28",2016-04-25 11:42:52,2.3,22,33.51,125.91,"제주"," 제주시 고산 북서쪽 34km 해역"
"29",2016-04-27 19:27:00,2.3,15,35.57,128.34,"경남"," 합천군 동쪽 16km 지역"
"30",2016-04-28 10:16:43,2.4,10,35.42,128.56,"경남"," 창녕군 남남동쪽 15km 지역"
"31",2016-04-30 22:46:41,2.6,19,37.75,125.4,"북한"," 황해남도 옹진군 남쪽 20km 지역"
"32",2016-05-03 03:29:09,2.4,2,37.11,129.02,"강원"," 태백시 남남동쪽 7km 지역"
"33",2016-05-22 01:22:47,3.5,21,40.68,127.15,"북한"," 함경남도 장진군 북북서쪽 34km 지역"
"34",2016-05-24 04:52:21,2.3,16,33.61,125.56,"제주"," 제주시 고산 서북서쪽 66km 해역"
"35",2016-06-03 04:53:38,3,10,36.39,127.92,"경북"," 상주시 서쪽 22km 지역"
"36",2016-06-05 10:11:39,2.2,17,36,129.58,"경북"," 포항시 남구 동쪽 20km 해역"
"37",2016-06-07 16:06:42,2.3,12,33.05,126.17,"제주"," 제주시 고산 남쪽 27km 해역"
"38",2016-06-13 12:33:06,2.7,8,34.3,124.68,"전남"," 신안군 흑산면 서남서쪽 82km 해역"
"39",2016-06-15 02:07:18,2.6,20,35.87,129.69,"경북"," 포항시 남구 동남동쪽 33km 해역"
"40",2016-06-21 03:23:46,3.1,0,39.49,126.19,"북한"," 평안남도 성천군 북쪽 28km 지역"
"41",2016-06-25 03:24:52,2.6,1,38.74,125.86,"북한"," 황해북도 송림시 20km 지역"
"42",2016-07-05 20:33:03,5,19,35.51,129.99,"울산"," 동구 동쪽 52km 해역"
"43",2016-07-05 21:24:35,2.6,24,35.51,129.87,"울산"," 동구 동쪽 41km 해역"
"44",2016-07-09 04:47:52,2.3,18,35.48,129.97,"울산"," 동구 동쪽 50km 해역"
"45",2016-07-09 13:16:48,2.6,0,38.69,125.83,"북한"," 황해북도 송림시 동남동쪽 18km 지역"
"46",2016-07-13 14:13:02,2,9,36.8,128.53,"경북"," 영주시 서쪽 9km 지역"
"47",2016-07-14 22:31:13,2.8,12,35.12,130.24,"울산"," 동구 동남동쪽 86km 해역"
"48",2016-07-30 01:51:57,2.3,13,33.06,126.33,"제주"," 서귀포시 남서쪽 27km 해역"
"49",2016-08-16 11:57:40,2.4,14,36.75,128.84,"경북"," 안동시 북북동쪽 22km 지역"
"50",2016-08-17 11:17:39,2.9,0,38.35,128.09,"북한"," 강원도 양구군 북북동쪽 28km 지역"
"51",2016-08-18 17:08:46,2.1,0,37.18,125.46,"인천"," 옹진군 연평도 남남서쪽 58km 해역"
"52",2016-08-18 22:21:10,2.6,5,38.84,125.7,"북한"," 황해북도 송림시 북북동쪽 13km 지역"
"53",2016-08-20 12:18:21,3,7,38.38,128.09,"북한"," 강원도 양구군 북북동쪽 32km 지역"
"54",2016-08-20 18:54:44,2.9,18,33.48,127.31,"제주"," 서귀포시 성산 동북동쪽 41km 해역"
"55",2016-08-28 21:27:55,2.4,14,38.65,127.16,"북한"," 강원도 평강 북북서쪽 29km 지역"
"56",2016-08-28 23:27:20,2.1,7,35.65,127.48,"전북"," 장수군 서쪽 4km 지역"
"57",2016-08-30 00:39:46,2.6,18,35.55,128.03,"경남"," 합천군 서쪽 13km 지역"
"58",2016-09-12 19:44:32,5.1,15,35.77,129.19,"경북"," 경주시 남남서쪽 8.2km 지역"
"59",2016-09-12 19:45:48,2.4,12,35.78,129.2,"경북"," 경주시 남남서쪽 7km 지역"
"60",2016-09-12 19:46:40,2.2,14,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"61",2016-09-12 19:48:03,3.1,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"62",2016-09-12 19:50:50,2.2,13,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"63",2016-09-12 19:53:01,2.1,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"64",2016-09-12 19:55:36,2.4,18,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"65",2016-09-12 20:00:07,2.4,19,35.78,129.16,"경북"," 경주시 남서쪽 8km 지역"
"66",2016-09-12 20:04:19,2.5,20,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"67",2016-09-12 20:07:05,2.6,21,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"68",2016-09-12 20:08:50,2.7,18,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"69",2016-09-12 20:09:36,2.7,13,35.76,129.17,"경북"," 경주시 남남서쪽 10km 지역"
"70",2016-09-12 20:10:50,3.1,18,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"71",2016-09-12 20:17:44,2.3,18,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"72",2016-09-12 20:26:22,2.5,17,35.77,129.2,"경북"," 경주시 남쪽 8km 지역"
"73",2016-09-12 20:32:54,5.8,15,35.76,129.19,"경북"," 경주시 남남서쪽 8.7km 지역"
"74",2016-09-12 20:34:22,3.6,12,35.78,129.19,"경북"," 경주시 남남서쪽 7km 지역"
"75",2016-09-12 20:36:00,3.4,13,35.75,129.18,"경북"," 경주시 남남서쪽 10km 지역"
"76",2016-09-12 20:38:32,3,15,35.78,129.2,"경북"," 경주시 남남서쪽 7km 지역"
"77",2016-09-12 20:39:35,3,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"78",2016-09-12 20:40:40,3,17,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"79",2016-09-12 20:42:27,2.5,13,35.79,129.2,"경북"," 경주시 남남서쪽 5km 지역"
"80",2016-09-12 20:43:31,2.4,13,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"81",2016-09-12 20:44:02,2.5,17,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"82",2016-09-12 20:45:06,2.3,15,35.76,129.17,"경북"," 경주시 남남서쪽 10km 지역"
"83",2016-09-12 20:45:36,2.7,14,35.78,129.2,"경북"," 경주시 남남서쪽 7km 지역"
"84",2016-09-12 20:46:28,2.4,16,35.76,129.17,"경북"," 경주시 남남서쪽 10km 지역"
"85",2016-09-12 20:47:41,2.2,14,35.81,129.23,"경북"," 경주시 남남동쪽 3km 지역"
"86",2016-09-12 20:47:55,2.9,16,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"87",2016-09-12 20:51:13,2.6,16,35.75,129.16,"경북"," 경주시 남남서쪽 11km 지역"
"88",2016-09-12 20:55:00,2,11,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"89",2016-09-12 20:58:45,2.1,16,35.77,129.17,"경북"," 경주시 남남서쪽 9km 지역"
"90",2016-09-12 21:00:35,2.5,18,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"91",2016-09-12 21:07:59,2,15,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"92",2016-09-12 21:09:19,2.2,15,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"93",2016-09-12 21:16:38,2.1,13,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"94",2016-09-12 21:20:48,2.8,19,35.78,129.18,"경북"," 경주시 남남서쪽 7km 지역"
"95",2016-09-12 21:33:57,2.3,17,35.76,129.02,"경북"," 경주시 서남서쪽 20km 지역"
"96",2016-09-12 21:38:35,2.6,18,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"97",2016-09-12 21:54:34,2.2,16,35.76,129.16,"경북"," 경주시 남남서쪽 10km 지역"
"98",2016-09-12 21:54:53,2.1,12,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"99",2016-09-12 22:06:22,2.1,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"100",2016-09-12 22:08:25,2,18,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"101",2016-09-12 22:13:14,2.4,17,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"102",2016-09-12 22:17:35,2.5,15,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"103",2016-09-12 22:18:36,2,17,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"104",2016-09-12 22:22:50,2.2,17,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"105",2016-09-12 22:23:27,2.4,17,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"106",2016-09-12 22:47:13,2.1,13,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"107",2016-09-12 23:18:27,3,17,35.76,129.17,"경북"," 경주시 남남서쪽 8km 지역"
"108",2016-09-12 23:52:30,3.1,18,35.75,129.18,"경북"," 경주시 남남서쪽 10km 지역"
"109",2016-09-12 23:53:42,2.2,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"110",2016-09-13 00:07:43,2.2,16,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"111",2016-09-13 00:10:05,2,17,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"112",2016-09-13 00:15:02,2,15,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"113",2016-09-13 00:21:37,2.5,18,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"114",2016-09-13 00:32:18,2.1,16,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"115",2016-09-13 00:37:10,3.1,19,35.78,129.21,"경북"," 경주시 남쪽 6km 지역"
"116",2016-09-13 00:45:50,2.2,17,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"117",2016-09-13 01:03:39,2,17,35.77,129.17,"경북"," 경주시 남남서쪽 9km 지역"
"118",2016-09-13 01:23:56,2.2,17,35.75,129.19,"경북"," 경주시 남남서쪽 10km 지역"
